"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/07/2021","AQS","510870014","3","26","ug/m3 SC","24","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/08/2021","AQS","510870014","3","17","ug/m3 SC","16","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/09/2021","AQS","510870014","3","14","ug/m3 SC","13","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/10/2021","AQS","510870014","3","14","ug/m3 SC","13","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/11/2021","AQS","510870014","3","17","ug/m3 SC","16","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/12/2021","AQS","510870014","3","19","ug/m3 SC","18","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/13/2021","AQS","510870014","3","20","ug/m3 SC","19","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/14/2021","AQS","510870014","3","19","ug/m3 SC","18","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/15/2021","AQS","510870014","3","20","ug/m3 SC","19","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/16/2021","AQS","510870014","3","26","ug/m3 SC","24","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/17/2021","AQS","510870014","3","21","ug/m3 SC","19","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/18/2021","AQS","510870014","3","13","ug/m3 SC","12","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"07/19/2021","AQS","510870014","3","23","ug/m3 SC","21","MathScience Innovation Center","1","100.0000","81102","PM10 Total 0-10um STP","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
