"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/20/2021","AirNow","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/21/2021","AirNow","510330001","1","0.049","ppm","45","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/22/2021","AirNow","510330001","1","0.045","ppm","42","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/23/2021","AirNow","510330001","1","0.039","ppm","36","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/24/2021","AirNow","510330001","1","0.026","ppm","24","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/25/2021","AirNow","510330001","1","0.026","ppm","24","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/26/2021","AirNow","510330001","1","0.044","ppm","41","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/27/2021","AirNow","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/28/2021","AirNow","510330001","1","0.031","ppm","29","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/29/2021","AirNow","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/30/2021","AirNow","510330001","1","0.045","ppm","42","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/31/2021","AirNow","510330001","1","0.032","ppm","30","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/01/2021","AirNow","510330001","1","0.035","ppm","32","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/02/2021","AirNow","510330001","1","0.039","ppm","36","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/03/2021","AirNow","510330001","1","0.04","ppm","37","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/04/2021","AirNow","510330001","1","0.051","ppm","47","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/05/2021","AirNow","510330001","1","0.049","ppm","45","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/06/2021","AQS","510330001","1","0.062","ppm","74","USGS Geomagnetic Center, Corbin","15","88.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
