"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/27/2021","AQS","517600025","1","25.1","ppb","24","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/28/2021","AQS","517600025","1","25.2","ppb","24","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/01/2021","AQS","517600025","1","21.3","ppb","20","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/02/2021","AQS","517600025","1","40.4","ppb","38","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/03/2021","AQS","517600025","1","51.6","ppb","48","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/04/2021","AQS","517600025","1","33.9","ppb","31","Bryan Park","19","79.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/05/2021","AQS","517600025","1","25.5","ppb","24","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/06/2021","AQS","517600025","1","40.5","ppb","38","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/07/2021","AQS","517600025","1","36.5","ppb","34","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/10/2021","AQS","517600025","1","53.7","ppb","50","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
